"Geneid","ORE_fem_1 ","CHD_fem_1 ","ORE_fem_2 ","CHD_fem_2 "
"FBgn0028969","195","71","120","62"
"FBgn0026090","54","18","32","13"
"FBgn0029590","1","1","1","0"
"FBgn0025624","42","22","25","16"
"FBgn0040395","653","231","344","131"
"FBgn0000382","1881","681","1165","398"
"FBgn0023507","667","172","407","132"
"FBgn0004654","291","111","151","84"
"FBgn0023540","115","43","36","25"
"FBgn0025839","94","33","59","24"
"FBgn0011576","0","0","0","0"
"FBgn0015036","1","0","0","0"
"FBgn0003116","26","11","18","6"
"FBgn0040899","6","3","3","6"
"FBgn0040900","11","2","6","0"
"FBgn0024984","0","0","0","0"
"FBgn0023549","98","65","72","54"
"FBgn0029606","0","0","1","1"
"FBgn0003048","514","302","350","174"
"FBgn0000810","93","28","55","14"
"FBgn0023523","8","2","1","3"
"FBgn0023527","42","7","28","16"
"FBgn0040391","10","10","19","3"
"FBgn0053218","6","5","5","2"
"FBgn0003079","137","66","80","41"
"FBgn0003159","237","169","170","100"
"FBgn0040389","28","3","22","5"
"FBgn0044047","122","47","70","24"
"FBgn0040392","18","5","15","3"
"FBgn0023526","306","66","182","34"
"FBgn0023529","501","181","392","125"
"FBgn0023528","272","107","153","52"
"FBgn0027296","95","45","51","23"
"FBgn0023524","276","111","207","81"
"FBgn0023525","51","33","44","12"
"FBgn0000377","62","21","45","10"
"FBgn0001330","49","8","25","3"
"FBgn0004397","667","329","487","198"
"FBgn0023550","20","18","19","9"
"FBgn0029603","7","1","6","1"
"FBgn0023542","79","24","34","13"
"FBgn0023541","0","0","0","0"
"FBgn0005670","4","21","4","8"
"FBgn0004655","531","208","360","138"
"FBgn0013432","41","11","24","7"
"FBgn0004861","254","134","170","57"
"FBgn0004860","241","126","135","60"
"FBgn0040394","82","39","52","33"
"FBgn0040376","7","4","6","1"
"FBgn0040066","56","18","23","7"
"FBgn0001404","412","186","199","92"
"FBgn0040336","33","13","15","6"
"FBgn0040333","4","1","3","0"
"FBgn0040334","27","13","21","5"
"FBgn0029629","171","47","108","28"
"FBgn0011566","51","24","29","19"
"FBgn0011606","10","4","1","6"
"FBgn0040375","48","21","52","10"
"FBgn0040377","27","6","20","7"
"FBgn0040388","32","10","17","10"
"FBgn0003714","67","20","56","17"
"FBgn0001150","55","47","64","16"
"FBgn0052797","5","0","3","2"
"FBgn0040385","3","2","4","0"
"FBgn0003371","1936","641","1196","365"
"FBgn0003068","688","428","333","173"
"FBgn0024993","10","3","4","9"
"FBgn0024996","58","20","31","12"
"FBgn0024997","87","33","56","16"
"FBgn0024991","23","10","5","5"
"FBgn0000928","0","0","0","1"
"FBgn0000927","0","0","0","0"
"FBgn0000520","35","23","28","8"
"FBgn0024975","14","11","8","3"
"FBgn0040356","2","0","0","0"
"FBgn0003996","83","0","59","2"
"FBgn0040384","169","51","118","37"
"FBgn0024980","58","29","31","17"
"FBgn0000376","112","61","105","37"
"FBgn0024973","85","60","67","38"
"FBgn0024998","35","18","28","5"
"FBgn0024995","18","5","18","6"
"FBgn0024994","31","12","18","7"
"FBgn0024992","116","67","97","33"
"FBgn0000092","2","6","1","4"
"FBgn0025838","2","0","1","0"
"FBgn0011276","6","3","5","2"
"FBgn0004647","200","149","139","77"
"FBgn0040396","23","7","15","2"
"FBgn0000479","1358","541","894","260"
"FBgn0002933","3","0","1","0"
"FBgn0003374","2","1","3","0"
"FBgn0029660","7","1","4","2"
"FBgn0029662","9","6","12","1"
"FBgn0029661","1","1","3","0"
"FBgn0029659","1","0","7","0"
"FBgn0029658","0","0","0","0"
"FBgn0052493","0","0","0","0"
"FBgn0029657","9","2","9","1"
"FBgn0003086","4","3","8","3"
"FBgn0010296","0","0","0","0"
"FBgn0010295","2","0","1","0"
"FBgn0010294","1","3","0","0"
"FBgn0040393","5","1","1","2"
"FBgn0000644","2","0","1","0"
"FBgn0028746","32","4","14","6"
"FBgn0040355","6","2","0","0"
"FBgn0052793","9","0","11","2"
"FBgn0029642","1","1","3","1"
"FBgn0025645","6","4","2","3"
"FBgn0029643","2","1","7","3"
"FBgn0029644","2","2","2","2"
"FBgn0029645","8","0","3","0"
"FBgn0029646","4","1","2","1"
"FBgn0029647","6","1","0","0"
"FBgn0029648","15","11","6","4"
"FBgn0028369","208","75","117","32"
"FBgn0029649","2","0","0","0"
"FBgn0003285","125","54","72","24"
"FBgn0025644","2","3","2","0"
"FBgn0029639","99","24","43","20"
"FBgn0040354","4","0","6","2"
"FBgn0040353","7","6","3","1"
"FBgn0040352","8","0","3","1"
"FBgn0029664","34","14","22","8"
"FBgn0029666","152","51","85","31"
"FBgn0029669","1","0","1","0"
"FBgn0052792","11","3","4","1"
"FBgn0044046","0","1","1","1"
"FBgn0023215","638","296","326","117"
"FBgn0015286","148","89","100","45"
"FBgn0023216","46","27","55","15"
"FBgn0029672","59","9","26","7"
"FBgn0052791","137","34","92","17"
"FBgn0029667","8","2","6","3"
"FBgn0029665","22","4","16","3"
"FBgn0029663","246","83","166","51"
"FBgn0052785","0","0","0","0"
"FBgn0025118","1","0","0","0"
"FBgn0028491","34","29","19","14"
"FBgn0029681","1","0","6","1"
"FBgn0029686","13","7","12","10"
"FBgn0052786","0","0","0","0"
"FBgn0052783","0","0","1","0"
"FBgn0029687","752","212","447","135"
"FBgn0029690","0","0","0","0"
"FBgn0029689","51","21","52","19"
"FBgn0029688","1374","652","1035","370"
"FBgn0029685","93","47","51","32"
"FBgn0019661","42","19","27","27"
"FBgn0029694","1","0","0","0"
"FBgn0000221","9","4","4","5"
"FBgn0026084","99","44","58","37"
"FBgn0026085","2","0","0","0"
"FBgn0026083","1003","555","699","289"
"FBgn0066114","38","13","22","10"
"FBgn0029697","2","0","0","0"
"FBgn0029701","0","0","0","0"
"FBgn0029702","0","0","0","0"
"FBgn0029706","90","68","84","33"
"FBgn0029705","13","6","5","4"
"FBgn0040907","17","4","12","4"
"FBgn0002707","42","23","27","6"
"FBgn0040906","2","0","1","0"
"FBgn0029703","0","0","0","0"
"FBgn0040905","0","0","0","0"
"FBgn0040904","0","1","0","0"
"FBgn0029700","0","0","0","0"
"FBgn0052774","0","0","0","0"
"FBgn0041252","0","0","0","0"
"FBgn0029696","0","0","0","0"
"FBgn0000635","438","222","297","136"
"FBgn0026080","53","19","40","14"
"FBgn0026079","58","23","39","21"
"FBgn0004832","29","6","15","4"
"FBgn0029693","146","52","93","31"
"FBgn0000179","181","85","121","40"
"FBgn0029708","313","116","221","58"
"FBgn0029709","93","38","59","23"
"FBgn0029710","13","2","12","0"
"FBgn0029712","6","1","4","3"
"FBgn0029714","18","4","17","8"
"FBgn0029716","1","1","0","0"
"FBgn0022768","608","284","377","173"
"FBgn0029715","111","20","55","22"
"FBgn0029713","33","10","27","9"
"FBgn0029711","147","78","104","45"
"FBgn0003210","310","180","242","95"
"FBgn0052773","5","3","2","0"
"FBgn0011760","1149","312","617","152"
"FBgn0028325","576","225","332","112"
"FBgn0029722","3","0","2","0"
"FBgn0029727","2","1","0","2"
"FBgn0029729","0","0","1","0"
"FBgn0029730","21","5","16","2"
"FBgn0029733","0","1","1","0"
"FBgn0052772","158","62","95","35"
"FBgn0029737","137","42","93","28"
"FBgn0004368","395","201","249","106"
"FBgn0029740","0","1","0","1"
"FBgn0061196","0","0","0","0"
