"","log2FoldChange","padj"
"FBgn0039107",1.66730882086637,4.68432854589415e-12
"FBgn0002922",0.977937403492776,4.44058396714219e-18
"FBgn0051140",0.972025550521293,9.67521756299922e-05
"FBgn0051451",1.17605826029624,0.000123853873885163
"FBgn0039210",-1.09396639972199,5.77541175198214e-10
"FBgn0039241",-1.07375253277566,0.00578392571090042
"FBgn0039321",-1.63926318119362,2.23717535756736e-42
"FBgn0022800",-1.15702944060101,0.000746295081993027
"FBgn0027865",0.580149943611243,0.000515364081312195
"FBgn0002732",1.12138801476532,0.00145440654123561
"FBgn0028833",0.670139429234487,1.13861581917999e-09
"FBgn0039463",1.08641353446316,6.57869202370899e-07
"FBgn0039464",0.622717790131203,1.43658205065685e-10
"FBgn0004197",-1.43509322788425,1.03376506500651e-31
"FBgn0039525",1.04380268188985,3.06186755208212e-05
"FBgn0003890",-1.510243119838,3.13131150293926e-17
"FBgn0002865",-5.62784927441185,3.58806879181438e-15
"FBgn0004171",-5.4837480643206,1.89103005801248e-09
"FBgn0039576",-6.8653203714763,0.000111069443094584
"FBgn0039577",-5.67084818265676,1.75429488325281e-05
"FBgn0051051",0.845754975320777,0.00364372170022145
"FBgn0039640",1.15388894176846,1.23749365322708e-19
"FBgn0051445",-0.713687481084286,2.19732607396674e-08
"FBgn0013972",0.781439415806161,0.00123698244388725
"FBgn0039682",0.937048173110416,0.0013159794273385
"FBgn0039696",0.847674378293917,3.94085505054962e-09
"FBgn0039747",1.88398947520641,0.00205125020494892
"FBgn0051383",-0.728222078923811,0.000970079925850174
"FBgn0051017",-0.809036292583487,0.00401240480916709
"FBgn0051371",1.72184146137964,2.48376280211549e-06
"FBgn0039844",-0.743167022481494,6.39439585598568e-15
"FBgn0051204",-2.09982817921011,1.83389910221384e-06
"FBgn0039881",0.932995515578511,0.000143043332858739
"FBgn0039883",0.934037474141004,0.00437633661440846
"FBgn0051601",-1.71642675628117,0.000171652014743111
"FBgn0032981",-2.41258252696013,2.76195071864573e-54
"FBgn0011956",0.60981685386628,0.00533598702459372
"FBgn0011935",-2.38450145563682,1.95344575809015e-26
"FBgn0033033",0.927220359109455,2.86737042203631e-17
"FBgn0033112",-1.28400127798743,2.963405410397e-06
"FBgn0028622",-0.742971515298473,0.00125776953780422
"FBgn0050215",-1.75454260859924,0.000210653329297756
"FBgn0034439",-2.35913853330712,3.2848884003026e-09
"FBgn0034440",-1.53163449444526,0.000705938563551784
"FBgn0050326",-0.789526741338421,3.22810341540301e-05
"FBgn0050229",-0.856658542397336,0.00586226269933747
"FBgn0063497",-0.595348253656032,5.35478565623894e-06
"FBgn0063494",-0.604844047302995,6.29941127403161e-06
"FBgn0015522",-0.700667357098456,1.94457738860621e-07
"FBgn0034255",-2.77504499976109,1.30744350253412e-23
"FBgn0004400",-2.47221826955373,2.21978776838923e-05
"FBgn0024196",0.606166483056341,0.000188346729926158
"FBgn0050103",2.93850695367648,0.000415268825964524
"FBgn0034219",0.692949454558291,0.00405220296686995
"FBgn0029879",0.618617803966262,0.000622091251990923
"FBgn0028360",0.581667031953283,1.47430040902828e-05
"FBgn0029896",0.850947474537869,4.81417947987905e-15
"FBgn0029892",0.664554059833091,0.00568119847408713
"FBgn0029885",0.61778991087708,0.00377509003515379
"FBgn0029914",0.749238557792749,0.000279365141001102
"FBgn0029924",0.865007395509901,0.000117042149858694
"FBgn0029932",1.00214018320337,0.000222626492177763
"FBgn0029936",0.749171497511883,0.00145419838222687
"FBgn0004646",0.89329519924456,0.000401112591760046
"FBgn0029925",0.868532368677479,0.000419397499178916
"FBgn0029915",0.808883776765843,1.99784455957537e-05
"FBgn0029939",0.649950898074701,0.000399276561654694
"FBgn0003447",-1.30172036009317,5.08901359680393e-33
"FBgn0030066",-0.623537235908089,0.00536720154199752
"FBgn0030077",-0.850112999481536,7.79062035548392e-12
"FBgn0030189",0.847393927978454,7.32029676916537e-06
"FBgn0030230",1.17810977382192,8.80956021847096e-11
"FBgn0027073",1.0001897059399,8.51098834768774e-06
"FBgn0034647",-0.677978149722539,2.74411658095515e-14
"FBgn0034636",0.587734133281977,0.0067815304914084
"FBgn0029147",1.10799357627124,1.62386560841773e-07
"FBgn0034706",0.795087543463761,3.95419608563033e-07
"FBgn0034186",0.737435293551115,1.31180029843287e-10
"FBgn0011260",1.26433840674388,0.000108343023278657
"FBgn0034135",-0.989951971827429,6.76738479265623e-05
"FBgn0034145",-1.45991365695702,0.00398888667794244
"FBgn0050463",-0.745081768517109,2.29633908111244e-05
"FBgn0024315",-0.791089875244637,0.0029563355948771
"FBgn0034142",-0.638428513901295,5.29582572168691e-05
"FBgn0050090",-1.18019763947747,9.68418679322031e-11
"FBgn0023441",1.11045613838844,0.000866929595415045
"FBgn0034011",-1.47046040874934,0.0099098605103102
"FBgn0034010",-0.996012003470544,0.000315852317911671
"FBgn0033955",-2.56352575919787,2.92023519147268e-05
"FBgn0033970",-2.4997645708141,0.000131805619965092
"FBgn0033949",-1.79153033523115,4.38695411307343e-05
"FBgn0010397",-1.53276171047794,1.38534441470917e-21
"FBgn0033900",0.687310386081465,0.00014908362578969
"FBgn0040752",-0.606976851004492,2.54217312953613e-06
"FBgn0013733",-0.672258262982313,7.6537617661197e-15
"FBgn0000633",-3.0214206076499,1.4670109151811e-97
"FBgn0033875",-0.797441472584123,1.15723358589651e-05
"FBgn0011896",-0.636751583134146,0.000371646432242065
"FBgn0033830",2.44191058573477,0.00267604295978419
"FBgn0004512",0.611280931802768,2.5333157416628e-05
"FBgn0003326",-1.4112723045693,2.71188598795168e-05
"FBgn0050046",-0.595128192899469,3.63515465181962e-07
"FBgn0011877",-0.684645845613002,0.000528277648088896
"FBgn0033748",-4.00411386397905,4.61911996654844e-19
"FBgn0033668",0.84516183082953,0.000152901962384223
"FBgn0033669",0.716391392101613,9.50112358821725e-07
"FBgn0033645",-3.39282892628658,2.02942848173237e-12
"FBgn0033635",-0.724211823820016,0.00159487705132571
"FBgn0011987",-0.671017362827319,0.00254959757081929
"FBgn0033518",-1.66533887435385,8.9995104634386e-29
"FBgn0053474",-2.45633301013741,7.18787869380821e-06
"FBgn0033519",-1.91188359686004,5.40095515674315e-07
"FBgn0033490",0.75609850940036,2.08560012062433e-06
"FBgn0040773",0.61765094258585,0.000275080679018585
"FBgn0003071",0.818726801989672,4.40424892788857e-09
"FBgn0033437",0.711523284709061,0.00226715783838046
"FBgn0024189",-2.72460716137557,1.80989601922012e-50
"FBgn0027585",-1.06219722003427,0.00682265657636821
"FBgn0033302",-1.40936827387937,3.85247242620666e-12
"FBgn0050359",-1.55093617983346,2.69193912451211e-22
"FBgn0050360",-2.58954962090313,0.000144611475753553
"FBgn0025469",0.643777753789421,0.00247005660882986
"FBgn0002891",0.657316792136041,7.39253403266925e-07
"FBgn0050377",1.15049950803929,7.12618861239502e-06
"FBgn0033128",1.24566496271667,5.52701817921037e-06
"FBgn0003090",-1.46910084513757,1.01667326765736e-21
"FBgn0002930",-1.84371456477064,0.00733984247841337
"FBgn0039896",-3.0484827919591,1.51890258337711e-24
"FBgn0039897",-2.9682201316128,3.4710309872118e-61
"FBgn0051999",-2.39357169664047,8.13080455989018e-46
"FBgn0039938",1.12432399204603,4.81609191865314e-10
"FBgn0010473",-2.95111950848668,4.2025184014737e-63
"FBgn0010453",1.76075624363373,3.03755410127844e-29
"FBgn0052525",-0.842225994322537,0.00137858906409151
"FBgn0052520",-0.927079301040456,2.31838798044956e-07
"FBgn0036101",-0.675405032095656,1.22871453913995e-05
"FBgn0011862",-0.879429237043992,6.88027650413807e-05
"FBgn0016034",0.806131681895732,3.38798221246073e-07
"FBgn0031835",-1.12241508855899,1.82350161216633e-10
"FBgn0037153",-3.16801472477575,6.65837062456606e-114
"FBgn0053170",0.771675514847419,1.97702478010054e-10
"FBgn0035802",-1.28565268201355,6.33146875697179e-27
"FBgn0032001",1.0712617247894,7.76951278356024e-12
"FBgn0039114",1.15939590329337,6.58189493813296e-06
"FBgn0039543",0.604429410323238,0.000607511454082463
"FBgn0031644",-1.3299234381558,0.00135004952362812
"FBgn0031690",-1.3786069419822,4.77958412013113e-05
"FBgn0041150",-2.95508048868439,7.32124267997011e-99
"FBgn0053508",1.36414301346163,0.00574077324191999
"FBgn0010263",-0.780686684275167,3.76159049508988e-05
"FBgn0031689",-1.67590630013808,2.26369869655759e-26
"FBgn0040726",-0.975144402797022,3.42091750883175e-05
"FBgn0004102",-2.2628549121658,3.31884008239475e-11
"FBgn0039914",0.735599839415787,2.91889516588746e-05
"FBgn0005677",-0.797789967735247,0.00689163905319589
"FBgn0010226",-0.683474277269355,1.07892449656628e-05
"FBgn0032666",-0.589742429282478,1.26560727929156e-05
"FBgn0015777",-0.809487508999139,7.33550145066658e-07
"FBgn0015609",-2.40717864095053,1.82412011340765e-22
"FBgn0051221",-1.11826688475273,4.8918732456344e-06
"FBgn0052843",-0.783041369562341,1.0125866802715e-05
"FBgn0014163",-0.604620042491229,2.37322193381745e-05
"FBgn0063923",-0.737721511513192,1.36161119418431e-07
"FBgn0053926",1.55791991918418,4.06178047582833e-25
"FBgn0083068",0.704994055387781,0.00724245430846449
"FBgn0035426",3.90573065104367,5.67093005599599e-30
"FBgn0031995",0.813529233797187,4.92337559822699e-05
"FBgn0033453",0.731112112870807,2.89739733433705e-07
"FBgn0000406",-2.33896354423652,2.88804806608037e-15
"FBgn0000276",0.61557630866714,0.00011560784354287
"FBgn0001091",0.609579434298673,6.29941127403161e-06
"FBgn0053460",-0.758214592901919,2.70409980709055e-05
"FBgn0032151",1.95223730620813,9.08214621072e-28
"FBgn0031762",-1.27794556545246,2.84154048783158e-05
"FBgn0037046",0.915955903988767,0.000261759946907855
"FBgn0034139",1.88870699062934,3.63020963573471e-05
"FBgn0053798",-2.60158973776964,0.000161778171571212
"FBgn0058160",-2.56615988558609,6.10167023768048e-07
"FBgn0040045",-1.66263982994945,0.00115094626600085
"FBgn0083968",-0.830288815867123,3.95419608563033e-07
"FBgn0083972",-0.672678826263026,2.2182095670081e-10
"FBgn0058470",-2.96943447943315,2.96585287711064e-09
"FBgn0085223",1.9846492496608,9.11861143987821e-05
"FBgn0085249",0.883640752069358,2.24143719528994e-06
"FBgn0085382",-1.12256040785078,0.00129183068579386
"FBgn0085384",-0.696627821049794,6.58189493813296e-06
"FBgn0085397",-0.675236505903882,4.72362083667457e-06
"FBgn0085400",-2.48768691476764,2.43834726558223e-34
"FBgn0085421",0.615699813230661,0.000708128978163383
"FBgn0085427",-2.82644984726354,4.99122219371451e-72
"FBgn0085446",-0.657394244158201,2.38145752495817e-06
"FBgn0085465",-5.1070015591134,1.93312598069122e-21
"FBgn0085466",-4.8533040519623,2.12480107228702e-58
"FBgn0085786",-2.00251120254434,2.67524625734692e-06
"FBgn0086074",-0.905993410852748,3.06194713192339e-07
"FBgn0086358",0.670546019755957,9.81909939570179e-11
"FBgn0086443",-0.640775255503712,1.97062232272061e-12
"FBgn0086604",-1.53245449733454,0.00733984247841337
"FBgn0086661",1.14781056964848,1.44605372751444e-10
"FBgn0086667",-0.637575264733219,1.57446588250137e-10
"FBgn0085407",-0.725329877217235,1.12449443803395e-12
"FBgn0086693",0.599207182363061,0.00406771357994081
"FBgn0086711",-0.811545818099115,1.51993211335114e-10
"FBgn0243486",-2.34909340452993,2.71979902243817e-05
"FBgn0243513",0.741438795326172,0.000152901962384223
"FBgn0243514",-1.22702229959501,9.67969404537224e-17
"FBgn0259173",-0.974481216242564,9.91634591032322e-11
"FBgn0259224",-2.05027214989636,9.20900018781103e-67
"FBgn0259233",0.616074534579435,0.00159198925571909
"FBgn0259714",-0.730475226556229,6.97772774116703e-12
"FBgn0259715",-2.33359471779694,4.64152330411628e-12
"FBgn0259716",-2.20681960108841,0.000479542588205144
"FBgn0259740",-0.67283369664218,1.1515589769704e-05
"FBgn0259851",-23.0104955217021,3.4482677495136e-05
"FBgn0259869",-24.1368030519619,1.22088947711125e-05
"FBgn0259994",3.10128450109066,3.23143381139787e-39
"FBgn0260745",-0.68446215618627,1.14272558653858e-10
"FBgn0260768",-0.754199801277942,1.42059084751468e-06
"FBgn0260817",1.01484354735749,8.08317398275011e-06
"FBgn0260855",0.601159669807772,4.47806597858739e-05
"FBgn0260962",-0.816214160395358,7.28268189921687e-12
"FBgn0261041",0.634388697593006,3.32610221440102e-05
"FBgn0261053",-0.764648663481706,2.35681925871091e-06
"FBgn0261089",-2.22447223285427,6.6620075691318e-09
"FBgn0261341",-1.11137847081071,0.000959970455692072
"FBgn0261446",0.851083700796126,0.000989563886598764
"FBgn0261586",-3.477843569578,0.000487193744819813
"FBgn0261588",-1.07362288362774,9.30354105438351e-11
"FBgn0261673",0.647228607528598,4.26024767308013e-11
"FBgn0261705",-1.37817461338889,3.5643658204786e-05
"FBgn0261953",1.23908762605887,0.00139923084866482
"FBgn0262112",0.618799047252227,3.35230567626526e-05
"FBgn0262169",0.715566815411906,1.28238067892652e-06
"FBgn0262352",1.58715151643396,0.00324565587320222
"FBgn0262509",-1.06201787306435,0.00027883295452119
"FBgn0262570",1.12777290521854,5.53298725931736e-06
"FBgn0262587",-2.22552964519087,1.98460943158117e-05
"FBgn0262588",-2.68319951301041,0.00304058701293806
"FBgn0262808",-1.63841480844741,9.14231176426002e-05
"FBgn0262945",-0.701956661981064,7.666335210711e-06
"FBgn0262983",-2.39653330192197,9.0831664117616e-08
"FBgn0262986",-4.90895875658982,0.000679384441201052
"FBgn0263220",0.931669131076235,2.39392851546672e-05
"FBgn0263258",-0.643395224992294,6.39735801059642e-05
"FBgn0263400",-2.33074732843793,1.23279027657136e-12
"FBgn0263464",-1.19427999034012,0.00376578861437597
"FBgn0034724",-1.31603411488426,4.41778022977735e-10
"FBgn0034796",1.13163114975253,3.45736120040745e-14
"FBgn0034756",1.83754393735379,1.55210612157544e-05
"FBgn0034850",1.16995554830167,0.00466370104979863
"FBgn0034870",-2.4041739014224,2.87525562343114e-07
"FBgn0034970",0.589235614986969,0.000605967545170354
"FBgn0028552",0.599695265710993,0.000829751402202318
"FBgn0034909",0.66347310238932,0.000882093476749471
"FBgn0034988",0.716831285181319,4.4296325687496e-08
"FBgn0005636",0.669825701956008,1.41084090393708e-13
"FBgn0010435",-0.920072884819743,0.000379910597677103
"FBgn0052476",0.925271262099984,0.000191174017541522
"FBgn0024806",0.752997881618102,1.02953346110413e-06
"FBgn0035143",0.945296307218424,1.71548213935039e-07
"FBgn0035131",0.870235448070534,0.00626986977782001
"FBgn0035169",0.607637090697492,0.00475389847788064
"FBgn0035160",0.917445463828038,0.000437855979139757
"FBgn0263490",-0.970400095564853,2.66799401030853e-23
"FBgn0263705",-2.22053298856513,2.75002179066156e-16
"FBgn0263776",-1.08153002894364,0.00416040315343891
"FBgn0264085",-2.23611765849801,0.000387256887492581
"FBgn0264266",2.50028077384148,0.00114689259531308
"FBgn0264272",-0.88008572636905,1.73924789570754e-07
"FBgn0264273",-1.20083566487104,3.13959977569665e-05
"FBgn0264310",1.69180483850226,1.08577871249983e-21
"FBgn0264343",-1.83860272585872,1.5355052237582e-06
"FBgn0264569",-2.86155987871716,1.86693551874339e-08
"FBgn0264699",-1.21633703148796,0.000708128978163383
"FBgn0264753",-0.75843070768768,9.72738800109417e-11
"FBgn0264776",-1.07122259221598,1.312827944131e-11
"FBgn0264816",0.639075687033991,0.0029293602945798
"FBgn0264867",1.48519276154943,1.46945162886742e-05
"FBgn0264904",-1.00155510847077,0.00406168464717721
"FBgn0264956",1.39225646848537,9.15114820178128e-06
"FBgn0264958",1.86508395845761,7.38030599727988e-12
"FBgn0264979",-0.615831885743931,8.90672485470428e-08
"FBgn0264987",-1.06562860105179,1.2540719857999e-09
"FBgn0265160",-5.41391659552064,4.30191516835962e-07
"FBgn0265180",2.27080540800849,1.71320233300257e-08
"FBgn0265191",2.06842535681941,1.97702478010054e-10
"FBgn0265301",2.24536114281344,8.62830325031201e-18
"FBgn0265362",0.745079654484598,0.00654816945132445
"FBgn0265372",-1.12369558789371,0.000113132350368557
"FBgn0265497",1.44782445792026,2.21529590227583e-14
"FBgn0265525",-0.624373447546379,1.72714385951899e-05
"FBgn0265598",-0.640791330178155,5.91515678526829e-05
"FBgn0265717",-3.58410734068235,4.23226962614869e-17
"FBgn0265767",1.49586214152763,3.95419608563033e-07
"FBgn0265822",-1.00384674321816,2.24691682307498e-06
"FBgn0265912",1.64552500764689,2.36676782940928e-07
"FBgn0265977",-0.6392017755104,0.00571220054279193
"FBgn0266100",-1.21623866652752,0.00527517226559366
