,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0031081,7.534540357282,4.92270940847923,15.919573613184,5.63794816568005
FBgn0052826,921.36664940477,761.050874550889,1064.62148538168,822.200774161674
FBgn0031085,4.30545163273257,3.93816752678338,0.994973350824003,2.81897408284003
FBgn0062565,26.9090727045786,43.3198427946172,21.8894137181281,46.0432433530538
FBgn0031088,12.9163548981977,6.89179317187092,5.96984010494402,5.63794816568005
FBgn0041626,4.30545163273257,2.95362564508754,3.97989340329601,6.57760619329339
FBgn0040784,4.30545163273257,3.93816752678338,2.98492005247201,7.51726422090674
FBgn0031086,5.38181454091571,6.89179317187092,3.97989340329601,7.51726422090674
FBgn0031082,4.30545163273257,1.96908376339169,0.994973350824003,1.87931605522668
FBgn0031080,7.534540357282,0,4.97486675412001,0.939658027613342
FBgn0053217,624.290486746223,393.816752678338,515.396195726834,368.34594682443
FBgn0052350,405.788816385045,339.666949185067,431.818434257617,417.208164260324
FBgn0024733,2594.03460872137,2093.13604048537,2654.58889999844,2131.14440662706
FBgn0040372,798.661277871892,1025.89264072707,873.586602023475,1019.52895996048
FBgn0000316,178.676242758402,214.630130209694,231.828790741993,222.698952544362
FBgn0024989,118.399919900146,125.036818975372,105.467175187344,138.129730059161
FBgn0040371,30.138161429128,33.4744239776588,29.8492005247201,24.4311087179469
FBgn0029521,16.1454436227471,27.5671726874837,27.8592538230721,23.4914506903335
FBgn0004034,232.494388167559,384.955875743076,301.476925299673,449.156537199177
FBgn0000022,6.45817744909885,9.84541881695846,6.96481345576802,12.2155543589734
FBgn0004170,11.8399919900146,13.7835863437418,7.95978680659202,8.45692224852008
FBgn0002561,10.7636290818314,11.8145025803502,2.98492005247201,12.2155543589734
FBgn0000137,6.45817744909885,4.92270940847923,6.96481345576802,9.39658027613342
FBgn0052817,92.5672101037502,107.315065104847,53.7285609444962,51.6811915187338
FBgn0029524,41.9781534191426,65.9643060736217,41.7888807346081,49.8018754635071
FBgn0023536,125.934460257428,153.588533544552,108.452095239816,124.974517672574
FBgn0023534,107.636290818314,213.645588327999,112.431988643112,185.112631439828
FBgn0023535,44.1308792355088,58.0879710200549,57.7084543477922,48.8622174358938
FBgn0023537,1722.18065309303,1633.35498173341,1668.57030933185,1557.95300978292
FBgn0029525,367.039751690452,410.553964667168,394.009446926305,406.871925956577
FBgn0029523,226.03621071846,274.687184993141,224.863977286225,239.612797041402
FBgn0010019,29.0617985209448,39.3816752678338,38.8039606821361,36.6466630769203
FBgn0011822,15.069080714564,20.6753795156128,18.9044936656561,25.3707667455602
FBgn0052816,252.945283423038,260.903598649399,259.688044565065,254.647325483216
FBgn0040370,220.654396177544,362.311412464071,231.828790741993,361.768340631137
FBgn0040373,60.276322858256,87.6242274709303,66.6632145052082,59.1984557396405
FBgn0000108,38.7490646945931,102.392355696368,51.7386142428482,72.3536681262273
FBgn0025640,185.1344202075,240.228219133786,213.919270427161,242.431771124242
FBgn0025635,420.857897099609,436.15205359126,366.150193103233,408.751242011804
FBgn0001341,712.55224521724,750.220913852235,733.29535955729,782.735137001914
FBgn0003575,1361.59907885168,1491.58095076921,1259.63626214319,1509.09079234703
FBgn0025634,182.981694391134,182.140248113732,155.215842728544,155.983232583815
FBgn0025638,495.126937764245,565.127040093416,484.552021851289,596.682847534472
FBgn0040383,683.490446696295,637.983139338908,690.511505471858,668.096857633086
FBgn0040382,319.679783730393,431.229344182781,307.446765404617,399.35466173567
FBgn0027343,81.8035810219188,121.098651448589,88.5526282233363,120.276227534508
FBgn0025621,1123.7228761432,1228.70826835642,1206.90267454952,1303.30568429971
FBgn0029535,5.38181454091571,7.87633505356677,3.97989340329601,7.51726422090674
FBgn0026874,72.1163148482705,112.237774513326,79.5978680659202,77.051958264294
FBgn0025616,139.927178063809,226.444632790045,167.155522938432,234.914506903335
FBgn0015799,440.232429446905,682.287524015221,470.622394939753,586.346609230725
FBgn0025620,4.30545163273257,7.87633505356677,6.96481345576802,7.51726422090674
FBgn0015288,1100.04289216317,1074.13519293017,1023.8275779979,1069.33083542398
FBgn0029532,3.22908872454943,6.89179317187092,4.97486675412001,6.57760619329339
FBgn0029531,2.15272581636629,10.8299606986543,4.97486675412001,6.57760619329339
FBgn0025639,884.770310526543,1013.09359626503,877.566495426771,1003.55477349105
